01;26.00;2014_12h
02;18.59;2014_12h
04;31.86;2014_12h
07;34.85;2014_12h
08;25.32;2014_12h
15;33.89;2014_12h
17;25.09;2014_12h
18;27.31;2014_12h
23;31.40;2014_12h
24;30.29;2014_12h
25;17.17;2014_12h
28;20.22;2014_12h
2B;32.18;2014_12h
32;32.99;2014_12h
33;20.95;2014_12h
36;25.93;2014_12h
37;21.5;2014_12h
40;32.99;2014_12h
41;20.19;2014_12h
43;32.38;2014_12h
45;25.46;2014_12h
46;33.35;2014_12h
48;31.86;2014_12h
54;17.85;2014_12h
58;24.48;2014_12h
63;26.49;2014_12h
67;19.44;2014_12h
71;28.51;2014_12h
72;29.14;2014_12h
73;25.36;2014_12h
75;13.73;2014_12h
76;18.34;2014_12h
78;15.57;2014_12h
79;25.19;2014_12h
81;30.81;2014_12h
84;31.97;2014_12h
86;19.11;2014_12h
90;25.32;2014_12h
92;18.37;2014_12h
93;12.32;2014_12h
94;16.66;2014_12h
95;16.58;2014_12h
